item_id,item_description,item_price,item_category
1,A high-quality noise-cancelling headphone.,129.99,Electronics
2,Stainless steel electric kettle with auto shut-off.,39.99,Home
3,Ergonomic mesh office chair with lumbar support.,149.49,Office
4,Organic cotton bed sheet set - king size.,79.99,Home
5,Bluetooth fitness tracker with heart rate monitor.,59.99,Fitness
6,Smart LED TV 42 inch with 4K resolution.,329.99,Electronics
7,Multi-function rice cooker - 5L capacity.,44.95,Kitchen
8,Running shoes with breathable mesh upper.,89.99,Sportswear
9,Professional artist paint brush set - 15 pieces.,24.99,Arts & Crafts
10,Portable wireless speaker with waterproof design.,69.00,Electronics
11,"Colon Cleanser Detox for Weight Flush - 15 Day Intestinal Cleanse Pills & Probiotic - Fast Natural Laxative for Constipation Relief - Bowel Movement Supplements for Stomach Bloating, Gut Loss Support",30.00,Fat Burner
